0.33444 0.31252 -0.05685 0.17116 -0.17421|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.02022 0.06117 -0.06040 0.07853 -0.01953|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.15620 0.09640 0.17332 -0.41999 -0.14517|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.16821 -0.42907 0.14316 -0.02563 0.38199|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.36180 -0.16605 0.32588 0.35439 -0.35790|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.19889 0.31979 -0.10488 0.34226 0.42600|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.41785 0.30745 0.01143 -0.06293 0.39425|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.19186 -0.31264 0.07466 0.42585 -0.03693|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.08130 0.13031 0.12065 -0.42142 0.18756|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.30914 0.23352 0.02754 0.26770 0.22375|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.14642 0.06989 -0.29114 0.29572 0.06255|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.17942 0.20516 -0.04391 -0.09344 -0.20692|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.17692 -0.12850 0.41840 0.38693 -0.24841|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.41975 0.36087 0.02584 -0.39859 0.10196|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.24552 -0.43280 -0.43117 0.33346 -0.34881|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.42727 0.16911 -0.41807 0.13577 0.22441|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.43372 0.35987 -0.35571 0.21122 -0.10557|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.39965 -0.42970 -0.12440 0.29535 0.17857|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.35546 -0.03782 -0.01093 0.23709 -0.24999|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.30265 0.16867 0.38596 -0.32127 -0.39896|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.31412 0.39526 -0.36567 -0.27862 -0.19204|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.16101 0.03876 -0.23332 -0.01942 0.06483|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.21124 0.43079 -0.15969 0.35165 0.04801|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.36678 -0.23715 0.43949 0.06053 0.40080|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.28261 0.01744 0.30490 -0.30828 -0.17176|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.07044 -0.03110 -0.03320 -0.22943 0.09253|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.23214 0.21584 -0.39840 0.07102 0.13966|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.31942 -0.34618 0.21276 0.33529 -0.41275|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.25571 0.18188 -0.29351 -0.40053 0.15438|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.30816 -0.30240 0.13533 -0.11273 -0.21701|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.05191 -0.40300 0.34653 -0.26943 -0.32492|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.02752 0.42983 0.41527 0.14194 -0.31501|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.07765 -0.28805 0.08794 0.20818 -0.31302|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.04435 -0.08547 0.37248 0.29550 -0.14870|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.18169 0.11482 -0.07930 -0.16161 0.35568|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.17118 -0.35578 0.17361 -0.33997 -0.35531|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.37358 -0.34437 0.02049 -0.42777 0.31608|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.26960 0.36707 0.04462 0.22858 -0.44596|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.08263 0.20486 -0.16666 -0.22423 -0.44305|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.27442 -0.01834 -0.10927 0.32436 -0.31119|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
0.33707 0.10998 -0.39065 -0.29149 -0.07078|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.12963 -0.16960 -0.14643 -0.33793 0.39084|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.26209 -0.41139 0.41592 0.21112 -0.01291|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.02919 -0.27211 -0.00732 0.20737 0.20354|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.30107 -0.34013 -0.28137 -0.37667 -0.35834|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
-0.02171 -0.29072 -0.04145 -0.23818 0.21514|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.28872 0.03219 -0.29745 -0.24288 -0.42715|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.12399 -0.27119 -0.09110 0.20344 0.42528|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.11755 0.17049 0.17367 -0.24088 -0.03524|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.30391 0.25798 -0.42968 -0.16545 -0.39378|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-----------------------------------------------------------------
